record_id,student_id,first_name,last_name,parent_id,class_id,gender,date_of_birth,date_enrolled,is_repeating,age,street_address,city,start_date,end_date,is_current
23,1023,Bola,Okeke,404,1,Male,2007-11-28,2024-02-11,False,17,86689 Cole Orchard,Warri,2024-10-08,,Yes
130,1130,Bola,Nnamdi,154,3,Female,2012-05-31,2024-02-13,False,12,34692 Heather Greens Suite 181,Sapele,2024-10-08,,Yes
270,1270,Kemi,Abdullahi,221,6,Female,2011-03-26,2024-02-17,False,13,110 Simpson Motorway Apt. 894,Warri,2024-10-08,,Yes
434,1434,Adebayo,Olawale,314,9,Male,2011-07-01,2024-02-16,False,13,42656 Justin Heights Suite 611,Warri,2024-10-08,,Yes
5,1005,Chinedu,Adeyemi,283,1,Male,2008-01-23,2024-02-12,False,16,84062 Mason Pine,Patani,2024-10-08,,Yes
531,1531,Obinna,Adeyemi,192,11,Female,2014-06-07,2024-02-18,False,10,551 Sarah Courts,Warri,2024-10-08,,Yes
67,1067,Bola,Eze,316,2,Female,2012-04-12,2024-02-13,False,12,06635 Helen Cliffs Suite 928,Ughelli,2024-10-08,,Yes
392,1392,Adebayo,Abdullahi,110,8,Male,2011-10-25,2024-02-19,False,13,9088 Shelly Manor Suite 704,Oghara,2024-10-08,,Yes
102,1102,Ngozi,Danladi,325,3,Male,2009-07-10,2024-02-19,False,15,72854 Rhodes Burg Suite 646,Ughelli,2024-10-08,,Yes
144,1144,Obinna,Nnamdi,486,3,Male,2013-08-20,2024-02-11,False,11,986 Mercer Street,Ughelli,2024-10-08,,Yes
226,1226,Kemi,Olawale,272,5,Female,2009-08-19,2024-02-09,False,15,63052 Griffith Ferry Apt. 307,Burutu,2024-10-08,,Yes
264,1264,Ngozi,Adeyemi,371,6,Female,2009-02-07,2024-02-08,False,15,1495 Rodgers Lake,Burutu,2024-10-08,,Yes
125,1125,Ibrahim,Abdullahi,173,3,Female,2010-07-11,2024-02-19,False,14,551 Sarah Courts,Sapele,2024-10-08,,Yes
232,1232,Chinaza,Abdullahi,422,5,Male,2012-11-01,2024-02-20,False,12,31070 Brown Harbor,Patani,2024-10-08,,Yes
471,1471,Ifeanyi,Nnamdi,570,10,Male,2011-10-29,2024-02-10,False,13,84062 Mason Pine,Sapele,2024-10-08,,Yes
62,1062,Kemi,Abimbola,103,2,Female,2014-06-30,2024-02-09,False,10,986 Mercer Street,Abraka,2024-10-08,,Yes
554,1554,Bola,Danladi,404,12,Female,2014-09-16,2024-02-07,False,10,57510 Ryan Plaza Apt. 485,Burutu,2024-10-08,,Yes
155,1155,Bola,Olawale,367,4,Female,2008-01-22,2024-02-08,False,16,9610 Torres Way Apt. 377,Ughelli,2024-10-08,,Yes
372,1372,Bola,Eze,233,8,Female,2009-02-11,2024-02-09,False,15,49690 Romero Vista Apt. 545,Ughelli,2024-10-08,,Yes
517,1517,Bola,Eze,299,11,Female,2013-08-03,2024-02-16,False,11,9610 Torres Way Apt. 377,Oleh,2024-10-08,,Yes
401,1401,Adebayo,Bello,168,9,Male,2007-10-28,2024-02-09,False,17,57510 Ryan Plaza Apt. 485,Abraka,2024-10-08,,Yes
49,1049,Obinna,Adeyemi,351,1,Male,2009-03-03,2024-02-08,False,15,5550 Smith Alley Suite 852,Ughelli,2024-10-08,,Yes
216,1216,Adebayo,Adeyemi,507,5,Female,2010-03-07,2024-02-11,False,14,9610 Torres Way Apt. 377,Ughelli,2024-10-08,,Yes
383,1383,Bola,Abdullahi,129,8,Male,2009-09-19,2024-02-08,False,15,3915 Lane Knolls,Ozoro,2024-10-08,,Yes
450,1450,Obinna,Nnamdi,424,9,Male,2011-01-02,2024-02-15,False,13,4354 Amanda Parkway,Asaba,2024-10-08,,Yes
204,1204,Chinedu,Abdullahi,509,5,Male,2012-02-23,2024-02-16,False,12,64919 Brittany Mews Suite 624,Patani,2024-10-08,,Yes
169,1169,Chinedu,Adeyemi,298,4,Male,2009-09-09,2024-02-07,False,15,45643 Wilson Ferry,Sapele,2024-10-08,,Yes
178,1178,Bola,Bello,398,4,Male,2013-09-23,2024-02-17,False,11,92652 Stewart Ports,Ughelli,2024-10-08,,Yes
315,1315,Ifeanyi,Bello,305,7,Female,2010-09-25,2024-02-18,False,14,7947 Cook Mission Apt. 516,Koko,2024-10-08,,Yes
600,1600,Ibrahim,Olawale,262,12,Female,2013-06-24,2024-02-12,False,11,845 Casey Alley,Agbor,2024-10-08,,Yes
68,1068,Ifeanyi,Abdullahi,597,2,Male,2014-09-01,2024-02-15,False,10,841 Derek Manors Suite 743,Warri,2024-10-08,,Yes
150,1150,Ibrahim,Bello,201,3,Female,2012-08-19,2024-02-12,False,12,9483 Andrew Mission Suite 812,Asaba,2024-10-08,,Yes
400,1400,Kemi,Abdullahi,423,8,Male,2010-08-23,2024-02-18,False,14,57510 Ryan Plaza Apt. 485,Oghara,2024-10-08,,Yes
371,1371,Ifeanyi,Adeyemi,455,8,Male,2013-11-09,2024-02-12,False,11,7911 Lyons Pines,Agbor,2024-10-08,,Yes
29,1029,Chinedu,Abdullahi,526,1,Male,2010-11-26,2024-02-08,False,14,52651 Amy Ports,Oghara,2024-10-08,,Yes
298,1298,Adebayo,Olawale,400,6,Female,2012-01-07,2024-02-16,False,12,982 Brandon Village,Warri,2024-10-08,,Yes
156,1156,Chinaza,Bello,354,4,Male,2010-01-31,2024-02-12,False,14,45029 David Glens Apt. 736,Agbor,2024-10-08,,Yes
539,1539,Ibrahim,Abdullahi,306,11,Male,2009-08-10,2024-02-08,False,15,34692 Heather Greens Suite 181,Koko,2024-10-08,,Yes
486,1486,Chinaza,Adeyemi,363,10,Male,2012-03-21,2024-02-18,False,12,48268 Thomas Stravenue Apt. 974,Burutu,2024-10-08,,Yes
106,1106,Ahmed,Abimbola,337,3,Male,2013-02-17,2024-02-19,False,11,356 Martinez Forge,Sapele,2024-10-08,,Yes
88,1088,Adebayo,Abimbola,326,2,Male,2014-08-17,2024-02-16,False,10,839 Sheppard Isle Suite 665,Abraka,2024-10-08,,Yes
229,1229,Bola,Olawale,451,5,Female,2013-10-16,2024-02-12,False,11,4793 Mark Unions Suite 964,Abraka,2024-10-08,,Yes
581,1581,Kemi,Nnamdi,382,12,Male,2013-08-06,2024-02-10,False,11,49690 Romero Vista Apt. 545,Abraka,2024-10-08,,Yes
162,1162,Chinedu,Abimbola,101,4,Male,2010-09-22,2024-02-15,False,14,64919 Brittany Mews Suite 624,Ughelli,2024-10-08,,Yes
398,1398,Obinna,Danladi,482,8,Female,2009-12-12,2024-02-10,False,15,551 Sarah Courts,Ughelli,2024-10-08,,Yes
16,1016,Ifeanyi,Abdullahi,440,1,Male,2012-08-27,2024-02-11,False,12,45029 David Glens Apt. 736,Ughelli,2024-10-08,,Yes
300,1300,Adebayo,Bello,528,6,Female,2009-11-01,2024-02-14,False,15,208 John Drive Suite 314,Warri,2024-10-08,,Yes
214,1214,Adebayo,Adeyemi,578,5,Male,2009-12-17,2024-02-12,False,15,7746 Martin Key,Sapele,2024-10-08,,Yes
547,1547,Kemi,Olawale,124,11,Male,2012-03-21,2024-02-16,False,12,31070 Brown Harbor,Burutu,2024-10-08,,Yes
207,1207,Adebayo,Okeke,245,5,Male,2013-12-16,2024-02-10,False,11,39310 Garcia Hill Apt. 435,Ughelli,2024-10-08,,Yes
403,1403,Kemi,Bello,375,9,Male,2010-04-07,2024-02-10,False,14,45029 David Glens Apt. 736,Warri,2024-10-08,,Yes
19,1019,Obinna,Abimbola,184,1,Male,2014-04-18,2024-02-12,False,10,9088 Shelly Manor Suite 704,Patani,2024-10-08,,Yes
158,1158,Ifeanyi,Abdullahi,340,4,Female,2014-05-18,2024-02-15,False,10,9610 Torres Way Apt. 377,Oleh,2024-10-08,,Yes
523,1523,Ibrahim,Bello,435,11,Male,2007-10-10,2024-02-19,False,17,9088 Shelly Manor Suite 704,Ozoro,2024-10-08,,Yes
105,1105,Ahmed,Eze,250,3,Female,2011-04-19,2024-02-20,False,13,92652 Stewart Ports,Agbor,2024-10-08,,Yes
423,1423,Adebayo,Eze,375,9,Female,2010-02-28,2024-02-13,False,14,845 Casey Alley,Ozoro,2024-10-08,,Yes
349,1349,Ifeanyi,Okeke,467,7,Female,2009-06-28,2024-02-10,False,15,3915 Lane Knolls,Patani,2024-10-08,,Yes
588,1588,Chinedu,Okeke,356,12,Male,2010-11-21,2024-02-11,False,14,208 John Drive Suite 314,Burutu,2024-10-08,,Yes
252,1252,Chinaza,Okeke,209,6,Female,2009-03-14,2024-02-13,False,15,986 Mercer Street,Burutu,2024-10-08,,Yes
50,1050,Ngozi,Okeke,565,1,Female,2013-06-06,2024-02-17,False,11,57510 Ryan Plaza Apt. 485,Oleh,2024-10-08,,Yes
473,1473,Bola,Nnamdi,563,10,Female,2013-10-10,2024-02-20,False,11,34692 Heather Greens Suite 181,Abraka,2024-10-08,,Yes
327,1327,Ibrahim,Eze,144,7,Female,2013-04-21,2024-02-13,False,11,06635 Helen Cliffs Suite 928,Ughelli,2024-10-08,,Yes
35,1035,Ifeanyi,Danladi,240,1,Female,2013-11-27,2024-02-18,False,11,986 Mercer Street,Ozoro,2024-10-08,,Yes
561,1561,Ibrahim,Danladi,290,12,Female,2011-02-24,2024-02-14,False,13,97238 Gonzales Green,Oghara,2024-10-08,,Yes
332,1332,Ahmed,Danladi,132,7,Female,2013-06-23,2024-02-18,False,11,4354 Amanda Parkway,Asaba,2024-10-08,,Yes
462,1462,Bola,Olawale,428,10,Male,2009-01-04,2024-02-11,False,15,429 Walker Loaf Apt. 643,Abraka,2024-10-08,,Yes
594,1594,Ahmed,Danladi,286,12,Female,2009-03-21,2024-02-08,False,15,80899 Rachel Mission Apt. 927,Oghara,2024-10-08,,Yes
83,1083,Ibrahim,Adeyemi,487,2,Female,2013-11-07,2024-02-10,False,11,845 Casey Alley,Agbor,2024-10-08,,Yes
355,1355,Obinna,Nnamdi,568,8,Female,2009-08-30,2024-02-08,False,15,42656 Justin Heights Suite 611,Sapele,2024-10-08,,Yes
276,1276,Chinaza,Abdullahi,475,6,Female,2009-04-25,2024-02-07,False,15,110 Simpson Motorway Apt. 894,Ughelli,2024-10-08,,Yes
373,1373,Ahmed,Abimbola,197,8,Male,2011-09-19,2024-02-18,False,13,208 John Drive Suite 314,Ozoro,2024-10-08,,Yes
593,1593,Kemi,Olawale,371,12,Male,2012-01-13,2024-02-20,False,12,8708 Adkins Springs,Agbor,2024-10-08,,Yes
79,1079,Bola,Okeke,555,2,Female,2014-05-06,2024-02-20,False,10,64919 Brittany Mews Suite 624,Oghara,2024-10-08,,Yes
201,1201,Adebayo,Olawale,448,5,Female,2008-06-21,2024-02-09,False,16,841 Derek Manors Suite 743,Koko,2024-10-08,,Yes
266,1266,Obinna,Adeyemi,521,6,Female,2012-06-06,2024-02-15,False,12,80899 Rachel Mission Apt. 927,Ughelli,2024-10-08,,Yes
92,1092,Obinna,Abimbola,438,2,Female,2013-10-29,2024-02-08,False,11,63052 Griffith Ferry Apt. 307,Abraka,2024-10-08,,Yes
173,1173,Ifeanyi,Abimbola,422,4,Female,2008-09-16,2024-02-15,False,16,52651 Amy Ports,Koko,2024-10-08,,Yes
140,1140,Ahmed,Eze,302,3,Male,2014-08-29,2024-02-13,False,10,8708 Adkins Springs,Burutu,2024-10-08,,Yes
387,1387,Adebayo,Olawale,159,8,Male,2009-07-22,2024-02-11,False,15,551 Sarah Courts,Patani,2024-10-08,,Yes
501,1501,Bola,Okeke,565,11,Female,2007-11-01,2024-02-17,False,17,866 Schultz Port Suite 781,Ughelli,2024-10-08,,Yes
288,1288,Chinedu,Eze,227,6,Male,2009-09-19,2024-02-07,False,15,28290 Glover Valley Apt. 282,Asaba,2024-10-08,,Yes
421,1421,Bola,Bello,316,9,Female,2012-05-20,2024-02-13,False,12,141 Greer Village,Oghara,2024-10-08,,Yes
451,1451,Obinna,Bello,213,10,Male,2008-08-02,2024-02-17,False,16,110 Simpson Motorway Apt. 894,Asaba,2024-10-08,,Yes
114,1114,Obinna,Danladi,423,3,Female,2011-05-27,2024-02-08,False,13,9088 Shelly Manor Suite 704,Ughelli,2024-10-08,,Yes
33,1033,Ahmed,Eze,198,1,Male,2012-08-06,2024-02-19,False,12,49690 Romero Vista Apt. 545,Ughelli,2024-10-08,,Yes
584,1584,Bola,Eze,577,12,Male,2012-05-06,2024-02-11,False,12,822 Susan Trace Suite 988,Warri,2024-10-08,,Yes
370,1370,Adebayo,Bello,516,8,Female,2010-12-07,2024-02-10,False,14,63052 Griffith Ferry Apt. 307,Agbor,2024-10-08,,Yes
228,1228,Bola,Adeyemi,361,5,Female,2009-03-12,2024-02-19,False,15,80899 Rachel Mission Apt. 927,Burutu,2024-10-08,,Yes
25,1025,Kemi,Bello,354,1,Female,2009-12-07,2024-02-12,False,15,72854 Rhodes Burg Suite 646,Koko,2024-10-08,,Yes
12,1012,Chinedu,Okeke,134,1,Female,2010-08-08,2024-02-19,False,14,03578 Reese Trafficway Apt. 662,Ughelli,2024-10-08,,Yes
545,1545,Bola,Bello,218,11,Male,2008-11-12,2024-02-20,False,16,8708 Adkins Springs,Warri,2024-10-08,,Yes
190,1190,Bola,Olawale,479,4,Male,2008-11-19,2024-02-16,False,16,39310 Garcia Hill Apt. 435,Ughelli,2024-10-08,,Yes
167,1167,Obinna,Adeyemi,155,4,Male,2011-03-31,2024-02-13,False,13,4793 Mark Unions Suite 964,Sapele,2024-10-08,,Yes
238,1238,Adebayo,Okeke,425,5,Male,2009-08-10,2024-02-18,False,15,982 Brandon Village,Ughelli,2024-10-08,,Yes
124,1124,Ibrahim,Okeke,597,3,Female,2013-08-09,2024-02-09,False,11,45643 Wilson Ferry,Oleh,2024-10-08,,Yes
410,1410,Ahmed,Bello,356,9,Male,2011-09-09,2024-02-20,False,13,8708 Adkins Springs,Ozoro,2024-10-08,,Yes
184,1184,Ifeanyi,Eze,260,4,Male,2012-06-19,2024-02-19,False,12,4793 Mark Unions Suite 964,Ughelli,2024-10-08,,Yes
22,1022,Ahmed,Bello,124,1,Female,2013-09-03,2024-02-18,False,11,8708 Adkins Springs,Ozoro,2024-10-08,,Yes
189,1189,Ibrahim,Olawale,440,4,Male,2010-01-14,2024-02-11,False,14,03578 Reese Trafficway Apt. 662,Ughelli,2024-10-08,,Yes
262,1262,Ibrahim,Danladi,284,6,Male,2009-11-18,2024-02-11,False,15,822 Susan Trace Suite 988,Ughelli,2024-10-08,,Yes
579,1579,Ngozi,Bello,316,12,Female,2011-12-25,2024-02-07,False,13,208 John Drive Suite 314,Oleh,2024-10-08,,Yes
263,1263,Ahmed,Nnamdi,570,6,Male,2008-12-24,2024-02-17,False,16,986 Mercer Street,Sapele,2024-10-08,,Yes
80,1080,Chinaza,Abimbola,516,2,Female,2014-04-23,2024-02-16,False,10,34692 Heather Greens Suite 181,Agbor,2024-10-08,,Yes
149,1149,Bola,Olawale,467,3,Female,2009-03-08,2024-02-11,False,15,141 Greer Village,Ughelli,2024-10-08,,Yes
141,1141,Chinaza,Danladi,541,3,Female,2012-02-11,2024-02-15,False,12,866 Schultz Port Suite 781,Patani,2024-10-08,,Yes
538,1538,Ahmed,Eze,530,11,Female,2013-09-30,2024-02-14,False,11,9610 Torres Way Apt. 377,Burutu,2024-10-08,,Yes
234,1234,Chinedu,Nnamdi,353,5,Female,2009-08-21,2024-02-15,False,15,06635 Helen Cliffs Suite 928,Abraka,2024-10-08,,Yes
30,1030,Bola,Okeke,513,1,Male,2009-09-05,2024-02-16,False,15,49690 Romero Vista Apt. 545,Warri,2024-10-08,,Yes
171,1171,Kemi,Danladi,111,4,Male,2014-09-12,2024-02-11,False,10,5550 Smith Alley Suite 852,Oghara,2024-10-08,,Yes
455,1455,Chinedu,Olawale,549,10,Female,2010-05-05,2024-02-10,False,14,39310 Garcia Hill Apt. 435,Oleh,2024-10-08,,Yes
84,1084,Chinedu,Nnamdi,305,2,Female,2014-05-03,2024-02-17,False,10,208 John Drive Suite 314,Koko,2024-10-08,,Yes
28,1028,Ngozi,Okeke,151,1,Male,2011-07-29,2024-02-08,False,13,42656 Justin Heights Suite 611,Patani,2024-10-08,,Yes
485,1485,Adebayo,Olawale,248,10,Male,2012-11-17,2024-02-11,False,12,8708 Adkins Springs,Ozoro,2024-10-08,,Yes
566,1566,Bola,Olawale,206,12,Male,2011-12-28,2024-02-14,False,13,5550 Smith Alley Suite 852,Oghara,2024-10-08,,Yes
48,1048,Ngozi,Abimbola,148,1,Female,2013-10-03,2024-02-07,False,11,72854 Rhodes Burg Suite 646,Ozoro,2024-10-08,,Yes
596,1596,Chinaza,Abdullahi,228,12,Male,2011-06-19,2024-02-19,False,13,31070 Brown Harbor,Ughelli,2024-10-08,,Yes
103,1103,Chinedu,Eze,153,3,Female,2013-10-08,2024-02-17,False,11,63052 Griffith Ferry Apt. 307,Agbor,2024-10-08,,Yes
337,1337,Adebayo,Danladi,483,7,Male,2009-12-24,2024-02-16,False,15,77892 Turner Mountain,Abraka,2024-10-08,,Yes
61,1061,Chinaza,Bello,203,2,Male,2013-05-03,2024-02-07,False,11,4793 Mark Unions Suite 964,Oghara,2024-10-08,,Yes
280,1280,Chinaza,Okeke,163,6,Female,2013-01-05,2024-02-10,False,11,9483 Andrew Mission Suite 812,Burutu,2024-10-08,,Yes
136,1136,Chinaza,Bello,217,3,Female,2011-03-31,2024-02-20,False,13,48268 Thomas Stravenue Apt. 974,Warri,2024-10-08,,Yes
166,1166,Ibrahim,Abdullahi,545,4,Male,2012-12-02,2024-02-15,False,12,28290 Glover Valley Apt. 282,Patani,2024-10-08,,Yes
352,1352,Ahmed,Danladi,470,8,Female,2011-12-15,2024-02-13,False,13,48268 Thomas Stravenue Apt. 974,Patani,2024-10-08,,Yes
589,1589,Adebayo,Bello,128,12,Male,2013-02-12,2024-02-19,False,11,982 Brandon Village,Ughelli,2024-10-08,,Yes
394,1394,Ahmed,Eze,332,8,Male,2010-01-09,2024-02-17,False,14,866 Schultz Port Suite 781,Oleh,2024-10-08,,Yes
474,1474,Ahmed,Okeke,146,10,Female,2013-02-24,2024-02-11,False,11,429 Walker Loaf Apt. 643,Burutu,2024-10-08,,Yes
324,1324,Chinaza,Danladi,537,7,Female,2008-06-24,2024-02-10,False,16,866 Schultz Port Suite 781,Koko,2024-10-08,,Yes
459,1459,Chinaza,Eze,404,10,Female,2010-08-15,2024-02-17,False,14,4354 Amanda Parkway,Ughelli,2024-10-08,,Yes
176,1176,Adebayo,Danladi,254,4,Female,2011-11-24,2024-02-15,False,13,80899 Rachel Mission Apt. 927,Oleh,2024-10-08,,Yes
384,1384,Ahmed,Danladi,406,8,Female,2008-08-02,2024-02-19,False,16,4793 Mark Unions Suite 964,Oleh,2024-10-08,,Yes
420,1420,Ahmed,Eze,334,9,Male,2011-03-30,2024-02-10,False,13,31070 Brown Harbor,Koko,2024-10-08,,Yes
388,1388,Chinedu,Abimbola,136,8,Male,2014-06-29,2024-02-07,False,10,845 Casey Alley,Oleh,2024-10-08,,Yes
339,1339,Bola,Olawale,296,7,Male,2011-11-22,2024-02-13,False,13,06635 Helen Cliffs Suite 928,Asaba,2024-10-08,,Yes
174,1174,Chinaza,Olawale,314,4,Male,2012-10-07,2024-02-18,False,12,9610 Torres Way Apt. 377,Koko,2024-10-08,,Yes
586,1586,Ibrahim,Okeke,116,12,Male,2010-02-16,2024-02-17,False,14,80899 Rachel Mission Apt. 927,Warri,2024-10-08,,Yes
379,1379,Obinna,Eze,573,8,Female,2013-10-21,2024-02-11,False,11,9610 Torres Way Apt. 377,Oleh,2024-10-08,,Yes
74,1074,Chinedu,Olawale,448,2,Male,2010-11-30,2024-02-20,False,14,551 Sarah Courts,Sapele,2024-10-08,,Yes
562,1562,Chinedu,Eze,589,12,Male,2009-04-05,2024-02-17,False,15,5550 Smith Alley Suite 852,Oleh,2024-10-08,,Yes
51,1051,Obinna,Eze,514,2,Female,2010-12-03,2024-02-12,False,14,42656 Justin Heights Suite 611,Oleh,2024-10-08,,Yes
452,1452,Chinaza,Abdullahi,264,10,Female,2008-08-15,2024-02-18,False,16,822 Susan Trace Suite 988,Ughelli,2024-10-08,,Yes
161,1161,Ngozi,Eze,155,4,Male,2011-11-25,2024-02-18,False,13,63052 Griffith Ferry Apt. 307,Sapele,2024-10-08,,Yes
386,1386,Ngozi,Danladi,185,8,Male,2013-02-12,2024-02-08,False,11,39310 Garcia Hill Apt. 435,Patani,2024-10-08,,Yes
382,1382,Ngozi,Abdullahi,477,8,Female,2011-04-22,2024-02-19,False,13,551 Sarah Courts,Oghara,2024-10-08,,Yes
405,1405,Chinedu,Olawale,124,9,Male,2014-07-31,2024-02-15,False,10,982 Brandon Village,Burutu,2024-10-08,,Yes
218,1218,Chinedu,Okeke,118,5,Female,2012-01-03,2024-02-08,False,12,866 Schultz Port Suite 781,Agbor,2024-10-08,,Yes
199,1199,Kemi,Nnamdi,184,4,Male,2008-12-01,2024-02-15,False,16,429 Walker Loaf Apt. 643,Koko,2024-10-08,,Yes
43,1043,Ahmed,Nnamdi,567,1,Male,2009-04-18,2024-02-16,False,15,80899 Rachel Mission Apt. 927,Koko,2024-10-08,,Yes
295,1295,Ibrahim,Bello,250,6,Female,2012-09-12,2024-02-14,False,12,5550 Smith Alley Suite 852,Warri,2024-10-08,,Yes
309,1309,Ngozi,Nnamdi,390,7,Female,2009-03-17,2024-02-13,False,15,64919 Brittany Mews Suite 624,Warri,2024-10-08,,Yes
529,1529,Kemi,Nnamdi,501,11,Male,2011-03-03,2024-02-15,False,13,208 John Drive Suite 314,Ughelli,2024-10-08,,Yes
168,1168,Bola,Bello,446,4,Female,2010-12-22,2024-02-18,False,14,3915 Lane Knolls,Ozoro,2024-10-08,,Yes
157,1157,Ifeanyi,Abimbola,206,4,Female,2008-11-10,2024-02-13,False,16,7911 Lyons Pines,Sapele,2024-10-08,,Yes
419,1419,Ibrahim,Bello,381,9,Female,2013-09-05,2024-02-20,False,11,5550 Smith Alley Suite 852,Koko,2024-10-08,,Yes
274,1274,Ibrahim,Okeke,455,6,Female,2014-08-19,2024-02-18,False,10,9088 Shelly Manor Suite 704,Ozoro,2024-10-08,,Yes
267,1267,Kemi,Nnamdi,202,6,Female,2011-08-16,2024-02-12,False,13,84062 Mason Pine,Sapele,2024-10-08,,Yes
365,1365,Ahmed,Abdullahi,218,8,Male,2009-09-22,2024-02-16,False,15,9088 Shelly Manor Suite 704,Agbor,2024-10-08,,Yes
100,1100,Chinaza,Danladi,359,2,Male,2007-10-18,2024-02-17,False,17,4354 Amanda Parkway,Asaba,2024-10-08,,Yes
404,1404,Adebayo,Olawale,352,9,Male,2013-10-02,2024-02-17,False,11,97238 Gonzales Green,Ozoro,2024-10-08,,Yes
357,1357,Obinna,Abimbola,283,8,Male,2008-04-23,2024-02-14,False,16,06635 Helen Cliffs Suite 928,Sapele,2024-10-08,,Yes
119,1119,Obinna,Eze,514,3,Male,2013-04-14,2024-02-07,False,11,63052 Griffith Ferry Apt. 307,Warri,2024-10-08,,Yes
395,1395,Ngozi,Nnamdi,235,8,Female,2010-12-21,2024-02-19,False,14,03578 Reese Trafficway Apt. 662,Patani,2024-10-08,,Yes
21,1021,Ibrahim,Olawale,135,1,Female,2008-01-16,2024-02-20,False,16,7911 Lyons Pines,Asaba,2024-10-08,,Yes
360,1360,Chinaza,Danladi,168,8,Female,2014-03-29,2024-02-12,False,10,986 Mercer Street,Agbor,2024-10-08,,Yes
293,1293,Ibrahim,Okeke,257,6,Male,2009-06-02,2024-02-09,False,15,84062 Mason Pine,Ozoro,2024-10-08,,Yes
312,1312,Ngozi,Danladi,514,7,Male,2009-03-25,2024-02-14,False,15,866 Schultz Port Suite 781,Agbor,2024-10-08,,Yes
187,1187,Chinedu,Nnamdi,360,4,Female,2008-06-17,2024-02-07,False,16,9330 Wayne Islands Apt. 033,Abraka,2024-10-08,,Yes
575,1575,Chinedu,Olawale,178,12,Male,2011-09-28,2024-02-16,False,13,986 Mercer Street,Ozoro,2024-10-08,,Yes
202,1202,Ifeanyi,Eze,370,5,Male,2011-01-29,2024-02-20,False,13,52651 Amy Ports,Agbor,2024-10-08,,Yes
367,1367,Ifeanyi,Danladi,520,8,Male,2014-04-21,2024-02-12,False,10,72854 Rhodes Burg Suite 646,Patani,2024-10-08,,Yes
97,1097,Ifeanyi,Nnamdi,435,2,Female,2011-03-23,2024-02-19,False,13,34692 Heather Greens Suite 181,Oghara,2024-10-08,,Yes
